index	label
Cell_9	L6
Cell_10	L4
Cell_13	L2/3
Cell_15	L6
Cell_16	L4
Cell_17	L6
Cell_20	L1
Cell_21	L6
Cell_22	L6
Cell_23	CC
Cell_24	L2/3
Cell_25	L1
Cell_26	L2/3
Cell_27	L2/3
Cell_28	L1
Cell_29	L6
Cell_30	HPC
Cell_31	CC
Cell_33	CC
Cell_34	L6
Cell_35	L4
Cell_36	L4
Cell_37	L6
Cell_38	L2/3
Cell_40	L2/3
Cell_41	L2/3
Cell_42	L2/3
Cell_43	L6
Cell_44	L1
Cell_45	L1
Cell_47	L4
Cell_48	CC
Cell_49	L5
Cell_50	L5
Cell_51	L5
Cell_52	L6
Cell_53	L5
Cell_54	HPC
Cell_55	CC
Cell_56	CC
Cell_57	L2/3
Cell_60	L4
Cell_61	L2/3
Cell_62	L2/3
Cell_63	HPC
Cell_64	L2/3
Cell_65	L5
Cell_67	L1
Cell_68	CC
Cell_69	CC
Cell_70	L5
Cell_71	L4
Cell_72	CC
Cell_74	L6
Cell_76	HPC
Cell_77	L2/3
Cell_78	L2/3
Cell_79	L6
Cell_80	L5
Cell_81	L1
Cell_82	HPC
Cell_85	L4
Cell_86	CC
Cell_87	HPC
Cell_88	L2/3
Cell_89	CC
Cell_90	L1
Cell_92	L6
Cell_93	L4
Cell_94	L4
Cell_95	L6
Cell_96	L2/3
Cell_97	L6
Cell_99	L6
Cell_100	L4
Cell_101	L6
Cell_102	HPC
Cell_103	L2/3
Cell_104	HPC
Cell_105	L2/3
Cell_106	L4
Cell_107	L2/3
Cell_108	CC
Cell_110	L5
Cell_111	HPC
Cell_113	L6
Cell_114	L4
Cell_115	L1
Cell_116	CC
Cell_117	L4
Cell_118	L4
Cell_119	L2/3
Cell_121	L6
Cell_122	L5
Cell_123	HPC
Cell_124	L2/3
Cell_125	L5
Cell_126	L2/3
Cell_127	L4
Cell_129	L4
Cell_131	L2/3
Cell_132	CC
Cell_134	CC
Cell_135	HPC
Cell_138	L6
Cell_139	L6
Cell_140	L4
Cell_142	L4
Cell_143	CC
Cell_144	L4
Cell_145	L4
Cell_146	L2/3
Cell_147	CC
Cell_148	L5
Cell_149	L2/3
Cell_150	L6
Cell_151	L1
Cell_152	L6
Cell_153	L2/3
Cell_154	L2/3
Cell_155	L6
Cell_156	L2/3
Cell_157	L5
Cell_159	CC
Cell_160	L6
Cell_162	L5
Cell_163	L5
Cell_164	CC
Cell_165	L6
Cell_166	L2/3
Cell_167	L6
Cell_168	L6
Cell_169	L6
Cell_171	L4
Cell_172	L2/3
Cell_173	L5
Cell_174	L1
Cell_176	L1
Cell_177	L5
Cell_178	L1
Cell_179	L5
Cell_180	L6
Cell_181	HPC
Cell_182	L5
Cell_183	L2/3
Cell_184	L2/3
Cell_185	L4
Cell_186	L2/3
Cell_187	L2/3
Cell_188	L6
Cell_190	L2/3
Cell_191	L2/3
Cell_192	L6
Cell_193	L4
Cell_194	HPC
Cell_195	L4
Cell_196	CC
Cell_197	CC
Cell_198	L6
Cell_199	L6
Cell_200	L5
Cell_201	L2/3
Cell_203	CC
Cell_204	L6
Cell_205	L4
Cell_206	L4
Cell_207	L1
Cell_208	L2/3
Cell_209	L1
Cell_210	L1
Cell_211	L6
Cell_212	L2/3
Cell_214	L1
Cell_215	L5
Cell_216	L2/3
Cell_217	L2/3
Cell_218	L6
Cell_219	L2/3
Cell_220	L4
Cell_221	L6
Cell_222	L1
Cell_223	L2/3
Cell_224	L6
Cell_225	L1
Cell_226	L5
Cell_227	L6
Cell_228	L2/3
Cell_229	HPC
Cell_230	L6
Cell_233	L6
Cell_234	L4
Cell_235	L5
Cell_236	HPC
Cell_237	L1
Cell_238	L1
Cell_239	L2/3
Cell_241	L4
Cell_242	L2/3
Cell_243	L2/3
Cell_244	L2/3
Cell_248	L1
Cell_250	L2/3
Cell_252	L4
Cell_253	L2/3
Cell_254	CC
Cell_255	L5
Cell_256	L1
Cell_257	L4
Cell_258	L2/3
Cell_259	L4
Cell_260	L5
Cell_261	L2/3
Cell_262	HPC
Cell_263	L6
Cell_264	L2/3
Cell_265	CC
Cell_266	L5
Cell_267	CC
Cell_268	L5
Cell_269	L6
Cell_270	L6
Cell_271	L6
Cell_272	L1
Cell_274	L5
Cell_275	L1
Cell_276	L4
Cell_277	L6
Cell_278	L6
Cell_279	L4
Cell_280	L6
Cell_281	L6
Cell_283	L6
Cell_284	L4
Cell_285	L4
Cell_286	L5
Cell_288	L2/3
Cell_289	CC
Cell_290	L2/3
Cell_291	L2/3
Cell_292	L5
Cell_293	L1
Cell_295	L6
Cell_296	CC
Cell_297	L4
Cell_299	CC
Cell_300	L2/3
Cell_301	L4
Cell_302	CC
Cell_303	L2/3
Cell_306	L6
Cell_307	L1
Cell_308	L4
Cell_309	L4
Cell_310	L2/3
Cell_311	L6
Cell_312	L1
Cell_313	L4
Cell_315	L6
Cell_316	HPC
Cell_317	L1
Cell_318	HPC
Cell_319	L1
Cell_320	CC
Cell_321	L6
Cell_323	L1
Cell_324	CC
Cell_325	L2/3
Cell_326	L4
Cell_328	L6
Cell_329	L6
Cell_330	L2/3
Cell_331	L2/3
Cell_332	L1
Cell_333	CC
Cell_334	L5
Cell_336	L6
Cell_338	L6
Cell_339	L4
Cell_340	HPC
Cell_341	L2/3
Cell_342	L1
Cell_343	L6
Cell_345	CC
Cell_347	L6
Cell_348	L1
Cell_349	L1
Cell_350	L4
Cell_351	L2/3
Cell_352	CC
Cell_353	L5
Cell_354	L4
Cell_356	L6
Cell_357	L4
Cell_358	L2/3
Cell_359	L4
Cell_361	L6
Cell_362	L5
Cell_363	L6
Cell_365	L5
Cell_366	L1
Cell_367	L5
Cell_368	L1
Cell_369	L5
